CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,CH 11,CH 12,Suhu,Debit
0,2,0,0,0,1,0,0,0,35,40,33,26.9,61.703
0,1,0,0,0,1,0,0,0,4,12,8,27.1,140.337
0,40,0,52,33,15,23,20,0,6,56,74,27.9,326.486
0,60,88,14,11,57,0,0,35,75,22,58,26.3,136.997
0,12,39,0,0,10,0,25,15,35,5,0,26.7,110.964
18,0,0,0,0,0,0,30,0,55,0,5,27.1,76.684
0,0,0,0,0,0,0,0,0,10,0,0,26.7,46.507
0,23,0,29,27,25,16,0,30,0,16,25,26.8,72.841
0,0,0,0,0,0,0,0,0,0,2,1,27.2,77.669
0,8,0,19,9,5,3,0,15,0,0,0,27,59.988
36,5,0,7,9,5,4,60,20,17,0,0,26.6,242.162
25,64,80,55,54,63,48,53,40,21,40,76,26.8,124.237
0,0,40,0,0,0,0,0,0,36,92,85,28.5,101.662
0,0,43,0,0,0,0,0,0,11,0,0,28,75.085
0,0,18,0,0,0,0,6,0,20,28,0,26.9,61.881
0,0,0,0,0,0,0,10,0,7,0,9,27.2,85.061
0,0,0,0,0,0,0,0,0,53,22,8,27.6,72.066
0,3,46,4,6,3,0,25,17,20,0,0,26.6,74.824
23,1,40,2,1,1,0,50,15,51,15,0,28,159.102
0,19,27,22,21,18,0,0,41,0,45,56,28.2,91.079
12,3,16,5,7,2,28,14,19,0,0,0,27.9,76.936
26,0,10,0,0,0,30,53,0,0,0,0,28.4,57.299
0,0,0,0,0,0,0,0,0,0,0,0,28.3,67.216
0,17,36,0,0,15,0,0,14,0,0,0,27.5,100.707
27,27,8,29,31,24,0,31,27,0,0,0,27,96.128
33,94,14,91,90,90,0,40,12,23,0,62,27.8,101.178
0,3,0,4,24,2,0,0,0,0,15,0,26.8,74.098
0,0,16,0,0,25,0,0,37,28,9,2,27.8,57.535
0,12,0,17,12,10,38,0,0,9,0,16,27.6,63.676
0,0,13,0,0,0,0,0,12,16,5,0,28,42.135
0,0,18,0,0,0,29,0,0,23,0,0,27.2,59.301
0,0,26,14,0,0,0,0,0,0,0,8,27.6,59.442
0,0,16,0,33,0,0,0,10,12,15,0,27.6,59.962
0,27,39,31,9,22,6,0,87,30,25,0,28.1,62.386
0,3,40,8,20,2,0,0,30,41,12,18,27.6,50.668
0,18,58,22,0,17,25,0,16,39,0,20,27.9,59.047
0,0,0,0,0,0,0,0,0,0,0,0,27.1,31.154
0,15,7,19,14,0,0,0,0,6,0,2,26.8,21.231
24,49,0,0,0,0,0,0,0,8,0,0,28,71.232
37,51,64,6,40,3,18,0,9,0,0,0,28.2,58.672
18,14,11,16,50,20,26,0,18,9,32,17,28.1,98.769
0,7,34,19,12,34,12,15,20,0,16,24,27.7,67.277
0,0,12,21,0,0,0,0,29,0,0,0,27.5,42.247
0,4,7,5,5,0,0,0,4,0,0,0,28.1,41.238
0,2,0,3,3,0,0,0,0,0,0,0,28.2,27.545
16,0,0,0,0,5,0,35,0,0,0,0,27.8,35.52
10,0,0,0,0,7,5,21,0,76,69,35,27.3,63.519
0,0,0,0,0,0,0,0,0,59,70,53,27.6,67.424
0,17,0,11,5,4,0,15,4,13,0,0,28.3,36.473
0,13,64,20,24,3,0,0,14,4,0,1,28.1,89.567
25,78,11,29,21,20,74,17,28,10,18,23,28.6,126.545
23,10,34,12,9,0,5,20,0,31,26,34,28.8,93.491
0,0,12,0,0,0,0,0,33,6,0,0,28.6,70.454
19,41,7,10,7,6,0,25,6,9,0,0,27.7,48.557
0,4,0,11,4,1,16,0,4,30,7,17,28,69.727
0,7,0,9,10,9,0,0,0,5,0,6,27.9,78.283
0,17,0,15,22,14,0,0,19,7,10,4,27.1,50.399
0,0,0,0,0,0,0,45,0,0,0,0,26.8,35.664
0,30,37,33,31,28,0,0,14,0,0,0,27.3,114.879
0,11,4,16,17,9,0,0,4,42,0,0,27,73.68
0,21,28,13,12,11,0,0,12,39,0,0,27.6,68.059
0,9,0,0,0,2,0,0,7,0,26,24,26.5,48.609
0,0,0,0,0,0,0,0,0,6,0,0,26.8,35.825
0,0,0,0,0,0,0,0,0,0,0,0,26.7,31.962
0,0,0,0,0,0,0,0,0,11,0,0,27.2,29.106
0,0,0,0,0,0,0,0,0,0,0,0,27.8,26.135
0,0,0,0,0,0,0,0,0,0,0,0,26.7,27.22
0,0,19,0,0,0,0,0,0,0,0,0,26.7,25.582
0,0,0,0,0,0,0,0,0,0,0,0,27.7,21.318
0,0,4,0,0,0,0,0,0,0,0,0,27,23.152
0,0,33,0,0,0,0,0,0,0,0,0,27,26.905
0,0,39,0,0,0,0,0,0,36,0,0,27.2,27.309
0,25,27,21,29,23,0,0,15,17,0,0,26.1,28.426
0,42,0,31,33,39,0,0,9,0,0,0,27,20.117
0,0,0,0,0,0,0,0,0,6,0,0,27.3,16.069
0,0,0,0,0,0,0,0,0,0,0,0,27,13.344
0,0,0,0,0,0,0,0,0,0,0,0,27,14.087
0,0,0,0,0,0,0,0,0,0,0,0,26,14.241
0,0,0,0,0,0,0,0,0,0,0,0,25.6,12.544
0,0,0,0,0,0,0,0,0,0,26,0,27.5,12.52
0,0,0,0,0,0,0,0,0,0,19,0,26.4,12.171
0,0,0,0,0,0,0,0,0,0,0,0,26.5,11.894
0,0,0,0,0,0,0,0,0,0,0,0,26.6,15.985
0,0,0,0,0,0,0,0,0,0,0,0,26.1,15.633
0,0,0,0,0,0,0,0,0,0,21,1,25.7,14.14
0,0,0,0,0,0,0,0,0,0,6,0,26.3,16.086
0,0,0,0,0,0,0,0,0,0,0,0,25.4,14.145
0,0,0,0,0,0,0,0,0,0,0,0,25.5,10.448
0,0,0,0,0,0,0,0,0,0,3,0,28.1,12.896
0,0,13,0,6,0,0,0,2,0,0,0,27.3,36.142
0,14,8,0,0,6,0,0,0,0,0,0,27,24.26
0,0,0,0,0,0,0,0,0,0,0,0,27.6,47.529
0,3,0,0,0,0,0,25,2,0,0,0,26.5,20.813
0,0,0,4,0,0,0,0,3,0,0,0,26.8,15.22181
0,0,0,0,0,0,0,0,0,0,0,0,26.7,15.835
0,0,0,0,0,0,0,0,0,0,0,0,27.2,16.112
0,0,0,0,0,0,0,5,0,0,0,0,27.8,15.674
0,0,0,0,0,0,0,0,0,0,0,2,26.7,12.54741
0,0,0,0,0,0,0,0,0,0,0,0,26.7,12.85681
0,0,0,0,0,0,0,0,0,15,0,0,27.7,12.46341
0,0,0,0,0,0,0,0,0,0,0,0,27,12.505
0,0,0,0,0,0,0,0,0,0,0,0,27,11.723
0,0,0,0,0,0,0,0,0,0,0,0,27.2,10.004
0,0,0,0,0,0,0,0,0,0,0,0,26.1,10.098
0,0,0,0,0,0,0,0,0,0,0,0,27,9.356
0,0,0,0,0,0,0,0,0,0,0,0,27.3,10.227
0,0,0,0,0,0,17,25,0,0,0,0,27,10.52
0,0,4,0,0,0,0,0,0,0,0,0,27,10.672
0,0,0,0,0,0,21,0,0,21,12,20,26,9.865
0,0,0,0,0,0,0,0,0,0,0,0,25.6,10.688
0,0,0,0,0,0,0,0,0,0,0,0,27.5,10.264
5,0,0,0,0,0,12,6,0,5,0,0,26.4,9.185
0,0,0,0,0,0,0,0,0,0,0,0,26.5,9.452
14,28,11,22,23,15,18,12,17,98,64,47,26.6,8.13
4,0,10,4,5,5,6,0,7,10,8,5,26.1,6.934
0,0,8,0,0,0,0,0,0,0,0,0,25.7,7.835
0,0,0,0,0,0,0,0,0,0,0,0,26.3,9.56
0,0,0,0,0,0,0,0,0,0,0,0,25.4,7.205
0,0,0,0,0,0,0,0,0,0,0,0,25.5,7.114
0,0,0,0,0,0,0,0,0,0,0,0,25.7,7.886
0,0,0,0,0,0,0,0,0,0,0,1,23.4,7.87
0,0,0,0,0,0,0,0,0,0,0,0,26.6,7.791
0,0,3,0,0,0,0,0,0,0,0,0,27,8.069
0,0,0,0,0,0,0,0,0,0,0,0,26.9,7.496
0,0,0,0,0,0,0,0,0,2,0,0,27,7.285
0,0,13,0,0,0,3,2,0,11,0,1,26.2,6.714
0,0,4,0,0,0,0,0,0,0,0,0,26.5,6.039
0,0,0,0,0,0,0,0,0,0,0,0,27.1,6.46
0,0,0,0,0,0,0,0,0,0,0,0,27.5,6.231
0,0,0,0,0,0,0,0,0,0,0,0,28.1,6.334
0,0,0,0,0,0,0,0,0,0,0,0,27.6,6.234
0,0,0,0,0,0,0,0,0,18,16,20,26,6.356
0,0,0,0,0,0,0,0,0,0,0,0,26.9,6.072
0,0,0,0,0,0,0,0,0,0,0,0,28.3,6.631
0,0,0,0,0,0,0,0,0,0,0,0,27.1,6.546
0,0,0,0,0,0,0,0,0,0,0,0,27.7,6.317
0,0,0,0,0,0,0,0,0,0,0,0,27.7,6.902
0,0,0,0,0,0,0,0,0,0,0,0,26.8,6.936
0,0,0,0,0,0,0,0,0,0,0,0,28.2,6.767
0,0,0,0,0,0,0,0,0,0,0,0,27.4,6.902
0,0,0,0,0,0,0,0,0,0,0,0,27.6,6.852
0,0,0,0,0,0,0,0,0,11,0,0,27.8,6.637
0,11,0,12,10,10,0,0,14,0,0,0,27.8,6.767
0,0,0,0,0,0,0,0,0,0,0,0,27.8,6.637
0,0,0,0,0,0,0,0,0,0,0,0,28.5,6.549
0,2,0,2,3,4,0,0,2,0,0,0,28.9,6.725
0,0,0,0,0,0,0,0,0,0,0,0,29.1,5.426
0,0,0,0,0,0,0,0,0,0,0,0,28.8,5.463
0,0,0,0,0,0,0,0,0,0,0,0,28.1,5.72
0,0,0,0,0,0,0,0,0,0,0,0,28.1,5.755
0,0,0,0,0,0,0,0,0,0,0,0,25.7,5.733
0,0,0,0,0,0,0,0,0,0,0,0,23.4,5.65
0,0,0,0,0,0,0,0,0,0,0,0,26.6,5.426
0,0,0,0,0,0,0,0,0,0,0,0,27,5.72
0,0,0,0,0,0,0,0,0,0,0,0,26.9,5.648
0,0,0,0,0,0,0,0,0,0,0,0,27,5.916
0,0,0,0,0,0,0,0,0,0,0,0,26.2,5.645
0,0,0,0,0,0,0,0,0,0,0,0,26.5,5.059
0,0,0,0,0,0,0,0,0,0,0,0,27.1,4.855
0,0,0,0,0,0,0,0,0,0,0,0,27.6,4.737
0,0,0,0,0,0,0,0,0,0,0,0,28.1,5.58
0,0,0,0,0,0,0,0,0,0,0,0,27.6,5.463
0,0,0,0,0,0,0,0,0,0,0,0,26,5.351
0,0,0,0,0,0,0,0,0,0,0,0,26.9,5.406
0,0,0,0,0,0,0,0,0,0,0,0,28.3,3.552
0,0,0,0,0,0,0,0,0,0,0,0,27.1,4.872
0,0,0,0,0,0,0,0,0,0,0,0,27.7,4.393
0,0,0,0,0,0,0,0,0,0,0,0,27.7,3.319
0,0,0,0,0,0,0,0,0,0,0,0,26.8,3.611
0,0,0,0,0,0,0,0,0,0,0,0,28.1,3.671
0,0,0,0,0,0,0,0,0,0,0,0,27.4,3.834
0,0,0,0,0,0,0,0,0,0,0,0,27.6,3.584
0,0,0,0,0,0,0,0,0,0,0,0,27.8,3.789
0,0,0,0,0,0,0,0,0,0,0,0,27.8,3.668
0,0,0,0,0,0,0,0,0,0,0,0,27.8,3.23
0,0,0,0,0,0,0,0,0,0,0,0,28.5,3.651
0,0,0,0,0,0,0,0,0,0,0,0,28.9,3.426
0,0,0,0,0,0,0,0,0,0,0,0,29.1,3.349
0,0,0,0,0,0,0,0,0,0,0,0,28.8,3.389
0,0,0,0,0,0,0,0,0,0,0,0,28.1,3.309
0,0,0,0,0,0,0,0,0,0,0,0,28.1,3.269
0,0,0,0,0,0,0,0,0,0,0,0,27.7,3.34
0,0,0,0,0,0,0,0,0,0,0,0,27.5,3.28
0,0,0,0,0,0,0,0,0,0,0,0,28.1,3.395
0,0,0,0,0,0,0,0,0,0,0,0,28.2,3.053
0,0,0,0,0,0,0,0,0,0,0,0,27.8,3.142
0,0,0,0,0,0,0,0,0,0,0,0,27.3,3.057
0,0,0,0,0,0,0,0,0,0,0,0,27.6,2.181
0,0,0,0,0,0,0,0,0,0,0,0,28.3,2.715
0,0,0,0,0,0,0,0,0,0,0,0,28.1,2.739
0,0,0,0,0,0,0,0,0,0,0,0,27.6,2.764
0,0,0,0,0,0,0,0,0,0,0,0,27.2,2.64
0,0,0,0,0,0,0,0,0,0,0,0,26.8,2.665
0,0,0,0,0,0,0,0,0,0,0,0,28.1,2.483
0,0,0,0,0,0,0,0,0,0,0,0,27.1,2.456
0,0,0,0,0,0,0,0,0,0,0,0,27.5,2.076
0,0,0,0,0,0,0,0,0,0,0,0,27.6,2.033
0,0,0,0,0,0,0,0,0,0,0,0,27.1,1.783
0,0,0,0,0,0,0,0,0,0,0,0,27.8,1.867
0,0,0,0,0,0,0,0,0,0,0,0,27.7,1.814
0,0,0,0,0,0,0,0,0,0,0,0,28.1,1.781
0,0,0,0,0,0,0,0,0,0,0,0,27.1,1.899
0,0,0,0,0,0,0,0,0,0,0,0,26.5,1.919
0,0,0,0,0,0,0,0,0,0,0,0,26.9,1.878
0,0,0,0,0,0,0,0,0,0,0,0,28.3,1.979
0,0,0,0,0,0,0,0,0,0,0,0,28.8,1.979
0,0,0,0,0,0,0,0,0,0,0,0,27.3,1.802
0,0,0,0,0,0,0,0,0,0,0,0,28.2,1.531
0,0,0,0,0,0,0,0,0,0,0,0,28,1.541
0,0,0,0,0,0,0,0,0,0,0,0,27.5,1.626
0,0,0,0,0,0,0,0,0,0,0,0,27.8,1.668
0,0,0,0,0,0,0,0,0,0,0,0,25.7,1.696
0,0,0,0,0,0,0,0,0,0,0,0,23.4,1.733
0,0,0,0,0,0,0,0,0,0,0,0,26.6,1.827
0,0,0,0,0,0,0,0,0,0,0,0,27,1.845
0,0,0,0,0,0,0,0,0,0,0,0,26.9,1.863
0,0,0,0,0,0,0,0,0,0,0,0,27,1.916
0,0,0,0,0,0,0,0,0,0,0,0,26.2,1.872
0,0,0,0,0,0,0,0,0,0,0,0,26.5,1.523
0,0,0,0,0,0,0,0,0,0,0,0,27.1,3.753
0,0,0,0,0,0,0,0,0,0,0,0,27.6,4.205
0,0,0,0,0,0,0,0,0,0,0,0,28.1,2.191
0,0,0,0,0,0,0,0,0,0,0,0,27.6,2.594
0,0,0,0,0,0,0,0,0,0,0,0,26,2.214
0,0,0,0,0,0,0,0,0,0,0,0,26.9,2.584
0,0,0,0,0,0,0,0,0,0,0,0,28.3,2.893
0,0,0,0,0,0,0,0,0,0,0,0,27.1,2.936
0,0,0,0,0,0,0,0,0,0,0,0,27.7,1.979
0,0,0,0,0,0,0,0,0,0,0,0,27.7,2.132
0,0,0,0,0,0,0,0,0,0,0,0,26.8,2.257
0,0,0,0,0,0,0,0,0,0,0,0,28.1,2.735
0,0,0,0,0,0,0,0,0,0,0,0,27.4,2.168
0,0,0,0,0,0,0,0,0,0,0,0,27.6,2.204
0,0,0,0,0,0,0,0,0,0,0,0,27.8,2.186
0,0,0,0,0,0,0,0,0,0,0,0,27.8,2.186
0,0,0,0,0,0,0,0,0,0,0,0,27.8,2.168
0,0,0,0,0,0,0,0,0,0,0,0,28.5,2.066
0,0,0,0,0,0,0,0,0,0,0,0,28.9,1.881
0,0,0,0,0,0,0,0,0,0,0,0,29.1,2.122
0,0,0,0,0,0,0,0,0,0,0,0,28.8,1.827
0,0,0,0,0,0,0,0,0,0,0,0,28.1,1.845
0,0,0,0,0,0,0,0,0,0,0,0,28.1,2.115
0,0,0,0,0,0,0,0,0,5,0,8,27.6,1.937
0,0,0,0,0,0,0,0,0,0,0,0,28,1.32
11,0,0,0,0,0,0,10,0,3,0,0,27.2,1.55
0,0,0,0,0,0,0,0,0,0,0,0,27.6,1.47
13,0,0,0,0,0,0,15,0,0,0,0,27.6,1.605
0,0,0,0,0,0,0,0,0,0,0,0,28.1,12.392
0,0,46,0,0,0,0,0,0,7,0,0,27.6,3.09741
29,17,0,19,17,18,86,26,22,0,0,0,27.9,13.477
0,9,3,10,11,12,0,0,14,45,0,18,27.1,9.456
0,0,0,0,0,0,0,0,0,2,0,0,26.8,3.883
0,0,34,0,0,0,0,0,0,11,40,0,28,8.03
4,11,0,16,17,14,6,7,44,0,0,0,28.2,14.838
0,10,16,10,11,9,0,0,27,14,2,2,28.1,11.135
18,6,0,7,9,7,13,12,9,8,37,0,27.7,9.068
0,0,0,0,0,0,0,0,0,5,0,22,27.5,6.271
0,0,0,0,0,0,0,0,0,0,0,0,28.1,7.039
11,0,0,0,0,0,14,16,0,0,0,5,28.2,6.7
0,7,18,8,8,5,0,0,9,8,32,44,27.8,6.766
0,0,5,0,0,0,0,0,0,6,0,5,27.3,5.137
28,0,12,0,0,0,25,22,0,0,0,17,27.6,6.005
9,26,0,19,22,20,4,10,0,3,0,0,28.3,6.57741
3,28,0,7,9,7,0,4,0,0,0,0,28.1,6.083
0,0,0,0,0,0,0,0,0,0,0,0,28.6,3.892
0,0,9,0,0,0,0,0,0,0,0,0,28.8,11.392
0,0,0,0,0,0,0,0,0,0,0,0,28.6,4.473
0,0,6,0,0,0,0,0,0,2,0,0,27.7,7.38041
0,0,12,0,0,0,0,0,7,9,0,0,28,5.984
0,0,8,0,0,0,0,0,2,19,0,0,27.9,4.90741
3,8,0,7,7,9,10,5,8,0,0,0,27.1,5.755
0,0,1,0,0,0,0,0,5,17,19,11,26.8,5.093
0,0,17,28,30,0,31,0,6,18,9,4,27.7,12.379
0,0,0,0,0,0,0,0,0,6,3,2,27.5,7.085
0,0,20,0,0,0,0,0,0,14,7,17,26.5,14.131
9,37,0,9,18,34,0,15,12,4,0,0,28.2,18.601
0,10,0,6,9,8,0,0,7,6,1,7,27.8,16.543
0,0,0,0,0,0,8,0,0,4,0,0,27.3,11.63541
14,1,13,13,15,1,25,20,10,0,0,1,27.5,9.742
0,23,29,5,7,22,0,0,15,0,0,0,28.7,18.922
0,18,32,36,33,15,0,0,47,12,6,0,28.1,16.365
0,7,47,11,10,6,0,0,15,15,27,26,27.6,18.366
10,34,34,2,5,32,28,0,3,23,13,7,28,24.102
0,24,40,4,6,20,0,0,19,17,0,0,27.2,25.097
0,30,46,20,20,31,52,10,31,2,2,0,27.6,29.33
0,31,32,14,17,30,0,15,39,0,0,4,27.6,38.408
0,0,28,31,33,0,7,0,39,35,31,10,28.1,40.986
10,7,4,0,0,0,0,0,5,38,0,17,27.6,39.547
0,5,18,0,0,3,0,0,5,0,0,1,27.9,57.39
0,25,12,34,44,25,53,0,19,15,17,5,27.1,38.635
7,28,10,40,40,28,30,0,27,20,14,17,26.8,59.119
0,0,0,0,0,0,0,0,0,8,6,0,26.8,27.07
15,7,7,7,9,5,18,20,15,18,1,20,27.3,57.545
0,10,0,12,9,8,10,0,30,0,0,0,27.6,27.534
17,2,0,0,0,2,0,22,0,0,2,0,28.1,17.022
10,3,0,3,1,2,18,15,0,0,0,0,28.6,37.208
0,1,0,0,0,1,0,0,12,0,5,0,28.8,75.359
0,0,21,0,0,0,25,0,0,0,1,0,28.6,41.494
0,0,2,0,0,0,0,0,0,0,2,0,27.7,19.01641
0,0,0,0,0,0,0,0,0,0,0,11,28,17.485
0,0,0,0,0,0,0,0,0,0,0,0,28,12.038
0,0,0,0,0,0,0,0,0,0,0,0,28.2,11.941
0,0,0,0,0,0,0,0,0,0,0,1,28.1,11.639
0,11,2,12,13,10,0,0,0,0,0,0,27.7,100.665
0,0,0,0,0,0,0,0,0,10,10,0,27.8,79.01
9,16,0,11,14,14,18,6,0,52,52,60,27.8,65.564
5,0,0,0,0,0,8,0,0,8,8,1,27.8,54.841
0,0,16,0,0,0,0,0,8,0,0,0,27.7,170.352
0,0,0,0,0,0,0,0,0,6,6,0,27.3,64.158
0,0,0,0,0,0,0,0,0,0,0,0,27.6,40.004
14,0,3,0,0,0,34,0,0,4,4,33,27.9,31.945
0,11,2,7,5,11,13,6,9,67,67,36,27.8,27.363
34,2,18,4,6,1,83,27,0,51,51,36,27.9,21.553
0,24,25,21,24,29,0,0,37,55,58,25,27.8,69.346
0,0,23,0,0,0,0,0,0,11,0,0,27.6,138.147
0,37,0,31,36,19,0,0,23,0,0,0,27.3,141.819
0,1,0,13,14,14,0,0,18,6,0,0,27.3,71.001
0,42,40,9,11,13,0,0,11,0,0,0,27.9,80.647
7,20,0,23,22,10,5,8,7,0,0,0,27.9,59.351
0,0,0,0,0,0,0,0,0,30,0,0,27.8,43.272
0,4,0,0,0,0,0,0,0,5,5,4,27.5,41.408
11,43,0,33,31,37,26,2,34,0,0,0,26.3,32.855
0,36,47,24,32,6,5,0,10,0,0,0,27.9,28.829
0,4,7,7,6,4,0,0,4,98,62,65,27.9,27.803
21,10,0,11,9,9,34,16,0,7,3,2,26.8,34.139
0,3,0,4,5,3,0,0,13,10,0,0,27.4,74.969
8,4,30,4,6,3,0,15,27,15,10,0,27.4,75.076
0,32,6,31,30,31,5,0,39,9,0,11,27.9,107.346
0,2,0,2,4,1,0,0,0,11,0,0,27.9,70.433
0,4,16,5,7,4,0,0,0,0,0,5,27.8,36.79
0,26,25,28,19,26,0,7,0,4,15,13,27.9,28.646
0,0,0,0,0,0,0,9,0,0,0,0,27.8,68.761
0,0,0,0,0,0,0,0,0,0,0,0,27.8,48.833
0,0,0,0,0,0,0,0,0,0,0,22,26.7,63.92
21,55,4,22,63,27,53,0,21,25,19,0,27.5,97.335
20,98,60,57,54,85,13,17,50,63,16,28,27,81.12
55,90,58,94,91,89,0,10,66,90,24,11,26.5,40.786
0,13,0,19,18,12,0,0,0,0,1,1,26.5,27.803
40,9,7,13,14,9,7,20,33,0,0,0,27,59.021
10,0,35,0,0,0,10,0,0,0,0,4,26.5,70.879
4,6,6,7,9,5,0,25,9,3,0,0,28,111.628
0,4,2,7,6,3,12,15,7,12,21,0,26,115.173
0,8,2,9,7,9,23,15,9,33,10,8,26.5,60.043
0,11,18,14,12,15,15,0,0,4,4,2,27,63.903
40,19,10,14,12,20,0,31,10,0,0,0,27.5,145.711
40,47,23,38,33,49,15,18,35,25,26,11,26.5,151.528
0,52,49,12,16,51,20,0,13,57,63,45,27.5,98.886
0,18,6,17,13,20,0,20,14,2,25,0,27.5,164.453
10,0,0,0,0,0,0,0,0,0,0,0,26.5,99.309
15,13,33,43,32,15,18,15,28,0,0,10,26.5,60.577
10,0,0,0,0,0,0,8,0,0,0,0,27,46.459
0,0,0,0,0,0,0,14,0,40,0,5,27,85.541
5,0,0,22,20,0,0,12,17,26,83,7,26.5,58.389
25,0,32,28,21,0,0,0,22,3,0,0,27,42.906
0,2,21,7,5,1,0,0,0,0,29,5,26.5,38.833
0,29,6,41,39,30,0,0,44,47,39,40,26.5,43.115
8,40,17,52,40,40,0,0,11,129,41,44,27,52.331
13,50,26,43,44,49,30,14,24,17,7,32,27,52.301
15,42,16,37,35,40,20,16,35,24,1,14,27,69.949
0,19,23,22,24,20,0,0,13,21,2,1,27,35.33
7,8,27,11,7,7,9,3,4,15,5,0,27,35.733
9,5,7,13,11,8,5,8,12,9,4,9,27,32.325
48,6,0,16,19,7,72,36,5,0,0,0,27,94.789
20,35,18,11,18,25,0,0,6,125,8,85,26.5,76.81
0,86,23,12,16,84,0,17,17,3,4,3,26.5,49.004
5,12,0,3,8,10,0,13,0,10,0,2,26.5,61.703
0,8,5,0,0,6,0,0,0,0,0,6,26.5,140.337
0,5,7,0,0,5,0,20,0,0,0,0,27,326.486
0,2,26,0,0,2,0,0,0,0,0,0,26.5,136.997
15,15,33,0,0,13,15,15,0,18,0,0,27,110.964
68,30,30,14,19,27,68,0,9,0,0,0,27,76.684
0,35,2,29,33,36,23,37,35,0,0,0,27.5,46.507
60,0,0,5,12,0,0,0,1,2,27,54,27.5,72.841
35,68,8,21,17,70,8,0,15,0,16,13,27,77.669
28,7,51,11,5,6,0,20,1,0,0,0,27,59.988
15,4,0,0,0,5,0,0,0,2,4,5,27.5,242.162
0,0,0,0,0,0,0,15,0,10,32,40,27.5,124.237
0,3,7,0,0,2,0,18,0,7,28,25,27.5,101.662
0,7,0,11,9,5,0,0,0,0,0,0,28.5,75.085
10,0,0,0,0,0,40,22,0,0,0,0,27.5,61.881
0,0,19,0,0,0,0,0,0,10,0,0,27,85.061
0,0,0,0,0,0,0,0,6,7,0,0,27.5,72.066
0,0,0,0,0,0,63,0,0,0,12,8,27,74.824
0,2,12,7,11,3,0,0,9,11,0,16,27,159.102
0,0,0,0,9,0,0,0,0,0,0,0,27.5,91.079
0,0,0,0,7,0,0,0,0,0,36,14,27.5,76.936
0,9,4,11,4,7,0,0,0,0,0,0,27,57.299
0,8,7,9,5,9,0,0,0,3,1,0,26.5,67.216
0,23,14,20,9,25,0,0,2,10,0,0,26.5,100.707
0,0,13,0,2,0,0,0,0,91,9,0,27.5,96.128
0,0,6,0,3,0,0,0,0,43,0,8,27.5,101.178
0,8,6,9,7,11,0,0,0,30,8,5,27,74.098
0,0,5,0,2,0,0,0,0,2,0,6,26.5,57.535
0,0,0,0,1,0,0,0,0,4,0,0,27.5,63.676
0,0,13,0,0,0,0,0,7,0,0,8,23.5,42.135
0,0,8,0,0,0,0,0,0,62,0,0,26,59.301
0,0,11,0,0,0,0,0,0,1,2,12,27,59.442
0,0,9,0,0,0,0,0,14,4,6,0,27,59.962
43,0,6,0,0,2,65,18,20,6,7,0,27,62.386
0,3,10,3,6,5,0,0,0,10,0,0,27.5,50.668
0,0,7,0,0,0,0,0,25,3,8,13,27,59.047
6,34,12,39,30,37,17,12,14,5,8,7,27,31.154
24,20,4,24,27,22,30,26,6,5,7,0,26.5,21.231
0,15,6,17,19,16,0,0,7,25,33,18,27,71.232
0,19,17,19,27,49,0,0,55,0,0,0,27,58.672
5,24,15,20,23,15,18,8,27,0,0,0,27,98.769
26,89,0,25,22,27,35,21,2,10,0,2,27,67.277
16,15,39,11,10,20,21,15,5,95,24,29,26.5,42.247
12,0,8,0,0,7,13,9,0,25,4,5,27,41.238
0,63,5,30,29,11,0,0,0,4,0,0,26,27.545
0,0,9,0,0,34,0,0,0,0,0,0,26.5,35.52
0,0,0,0,0,55,0,0,0,11,0,0,27,63.519
0,0,21,0,0,12,0,0,0,3,0,1,26.5,67.424
0,0,0,0,0,0,0,0,0,0,0,0,26.5,36.473
0,24,0,0,29,26,0,0,15,0,24,26,27,89.567
0,0,0,0,0,0,0,0,18,16,6,4,26,126.545
0,0,0,0,0,33,0,0,0,3,0,0,26.5,93.491
15,31,49,13,12,1,20,13,7,0,0,0,27,70.454
0,19,0,8,14,0,0,0,0,0,0,0,26.5,48.557
0,0,21,0,0,0,0,0,10,0,0,0,27,69.727
0,0,12,11,10,20,0,0,0,3,0,0,27,78.283
16,18,0,0,0,9,24,21,0,2,4,2,27.5,50.399
8,8,19,31,30,27,16,14,5,1,0,1,27,35.664
0,25,18,11,17,0,0,0,39,1,0,0,27,114.879
0,0,0,26,29,0,0,0,25,13,13,10,24,73.68
0,0,0,18,20,0,0,0,23,27,19,15,24.5,68.059
0,24,0,7,9,22,0,0,4,0,0,0,27,48.609
9,9,0,0,0,12,15,8,0,0,0,0,27,35.825
0,0,0,17,15,0,0,0,19,2,0,0,27,31.962
0,8,32,11,13,11,0,0,7,0,0,0,27,29.106
0,0,0,0,0,0,0,6,0,0,0,0,27,26.135
10,13,0,31,30,15,22,0,29,0,0,0,27,27.22
21,22,21,19,20,0,30,20,34,25,21,18,27,25.582
0,0,30,0,0,0,0,9,0,0,0,0,27.5,21.318
0,15,15,16,17,19,0,0,17,0,0,0,28,23.152
0,34,7,19,20,20,0,17,4,80,28,32,27.5,26.905
10,7,17,4,7,0,0,0,0,0,0,0,27.5,27.309
15,0,0,0,0,0,10,0,0,0,0,0,27.5,28.426
20,0,0,0,0,6,0,0,24,0,0,0,27.5,20.117
0,7,0,9,7,3,0,15,17,53,0,3,27.5,16.069
