Curah Hujan,Suhu,Debit
0,23.4,3.956
0,26.6,4.545
0,27,3.876
0,26.9,4.093
0,27,4.466
0,26.2,4.06
0,26.5,3.837
0,27.1,3.822
0,27.6,3.849
0,28.1,3.058
0,27.6,3.206
0,26,3.974
0,26.9,4.086
0,28.3,4.111
0,27.1,4.59
0,27.7,5.563
0,27.7,5.278
0,26.8,5.517
0.851806,28.1,5.819
0.550222,27.4,6.091
0,27.6,6.151
0.117379,27.8,6.041
0,27.8,5.717
0,27.8,5.548
0,28.5,6.146
0,28.9,5.545
0,29.1,5.039
0,28.8,4.542
0,28.1,3.184
0.785197,28.1,3.654
0,27.6,3.112
0,28,3.639
0,27.2,2.741
0,27.6,2.989
0,27.6,2.26
4.970213,28.1,2.706
7.278485,27.6,6.58
12.99953,27.9,10.705
19.5288,27.1,15.321
19.85475,26.8,16.749
7.11417,28,22.027
7.098333,28.2,11.05841
8.374114,28.1,16.63
8.355875,27.7,20.729
11.14687,27.5,24.222
9.627799,28.1,24.976
18.00907,28.2,46.262
10.27045,27.8,23.412
17.72859,27.3,15.779
0.361022,27.6,11.097
11.8052,28.3,19.767
12.2301,28.1,16.413
11.33044,28.6,20.469
9.988309,28.8,15.453
6.198404,28.6,30.512
9.520173,27.7,18.619
8.961951,28,24.733
3.321374,27.9,34.674
12.07507,27.1,42.773
11.2011,26.8,54.825
48.64498,27.7,118.2989
13.23749,27.5,64.09358
18.59523,26.5,57.16
16.98455,28.2,123.945
40.40688,27.8,126.67
25.78833,27.3,124.526
25.25887,27.5,77.747
4.953823,28.7,45.517
0.755763,28.1,33.399
4.665549,27.6,23.473
15.36086,28,34.202
16.37733,27.2,27.674
14.88515,27.6,23.584
5.748174,27.6,20.568
10.30973,28.1,72.127
18.97381,27.6,101.63
36.10135,27.9,111.215
40.33838,27.1,125.342
25.39463,26.8,80.97
2.839208,26.8,42.436
25.8079,27.3,73.428
18.4701,27.6,52.936
24.74535,28.1,83.977
10.09242,28.6,95.099
29.08373,28.8,110.73
27.67706,28.6,88.86052
25.7285,27.7,102.079
49.19536,28,122.383
71.55945,28,168.015
3.637551,28.2,50.67727
19.98646,28.1,111.542
69.98944,27.1,160.5588
19.77181,26.3,79.01
11.18115,27,65.564
16.48327,27.8,63.32818
31.67375,28.6,104.3966
12.90529,28.5,64.158
13.87838,28.3,61.05903
10.36631,26.6,55.02597
5.877809,27.5,45.46072
7.565415,27.5,21.553
9.333771,28.1,69.346
6.730668,28.7,57.7301
19.94296,26.7,94.70961
3.642401,27.6,71.001
1.310899,27.8,80.647
0.388429,27.3,59.351
1.245254,27.6,43.272
9.332762,27.4,41.408
2.225381,27.1,32.855
0.909954,27.7,28.829
17.86698,26.5,27.803
22.31012,25.8,34.139
25.81961,26.7,85.38813
28.68786,27.3,94.8059
24.88578,26.9,84.63112
7.455051,26.5,51.32169
1.817876,27.5,28.42712
8.571089,26.9,28.646
7.764481,27.9,68.761
4.629264,27.2,41.08948
6.961344,27,63.92
36.00197,27.6,97.335
25.2322,28.1,81.12
24.27327,28.6,40.786
16.31538,28.8,27.803
17.39112,28.6,63.09047
13.33717,27.7,60.77942
1.005272,28,19.85087
13.3752,28,59.54956
7.021274,28.2,60.043
2.658593,28.1,32.71029
5.165039,28,49.18261
17.37602,27.2,64.48022
4.189964,27.6,98.886
3.308975,27.6,36.83871
0.642299,28.1,18.48222
1.015343,27.6,18.87159
10.64333,27.9,46.459
0.135338,27.1,85.541
0.240934,26.8,14.52628
4.342309,26.8,42.10352
9.015923,27.7,52.2979
4.742756,27.5,41.80272
20.24878,28.1,52.331
6.854745,28.2,49.1642
13.62844,27.8,61.0361
4.050478,27.3,35.33
6.267418,27.6,46.10928
3.643925,28.3,36.81995
2.148062,26.9,27.93383
8.907217,27.2,76.81
6.540637,27.3,49.004
2.434766,26.9,61.703
8.680507,27.1,53.63437
1.849145,27.9,60.11408
9.693285,26.3,54.57607
0,26.7,10.94035
0,27.1,11.99055
0.002084,26.7,12.47295
3.270357,26.8,35.2617
2.424853,27.2,77.669
8.794717,27,54.68307
11.72094,26.6,55.34664
12.36711,26.8,124.237
5.306885,28.5,45.36208
0.846235,28,75.085
8.439788,26.9,53.50471
5.617053,27.2,85.061
1.03113,27.6,21.70459
0.241841,26.6,74.824
4.178335,28,39.27225
3.065789,28.2,91.079
4.811742,27.9,76.936
2.386736,28.4,30.49181
1.611125,28.3,25.26188
2.739912,27.5,100.707
4.570065,27,42.34505
2.04662,27.8,101.178
2.988896,26.8,74.098
8.727224,27.8,56.05233
10.17929,27.6,63.676
1.013214,28,19.59554
3.795192,27.2,38.87329
0.291258,27.6,12.82318
0.482344,27.6,59.962
0.712655,28.1,19.64831
0.270718,27.6,50.668
26.19788,27.9,59.047
0.998016,27.1,21.66002
0,26.8,21.231
0.091963,28,14.17518
2.529098,28.2,30.96469
12.52554,28.1,98.769
1.193505,27.7,67.277
0,27.5,42.247
0.104659,28.1,41.238
0,28.2,12.23218
0,27.8,35.52
2.587663,27.3,31.45931
1.481591,27.6,67.424
5.281298,28.3,36.473
0.664646,28.1,17.70835
9.54822,28.6,126.545
4.700864,28.8,43.44052
0,28.6,12.09831
0.378148,27.7,16.24973
9.340407,28,69.727
3.923495,27.9,37.98152
0.534151,27.1,18.61276
0,26.8,13.26077
0,27.3,11.5023
0,27,73.68
0,27.6,68.059
0,26.5,13.81991
0,26.8,13.87761
6.154077,26.7,48.89571
5.254565,27.2,43.48558
13.61008,27.8,26.135
10.5323,26.7,53.90095
0,26.7,25.582
0.649952,27.7,21.318
0.260186,27,16.06319
0.387562,27,26.905
2.329313,27.2,31.14458
2.066013,26.1,29.62293
0.443044,27,20.117
0.03832,27.3,11.09216
0.131338,27,13.344
0.601274,27,19.4493
0.002129,26,14.241
1.018913,25.6,12.544
0,27.5,11.74341
0,26.4,11.88697
0,26.5,11.894
0.318996,26.6,16.03272
0.839538,26.1,15.633
0.198105,25.7,12.6921
0,26.3,16.086
0.097256,25.4,14.145
0.83697,25.5,19.94082
0,28.1,12.896
0.929988,27.3,19.65756
7.706626,27,51.69988
0,27.6,47.529
57.14956,26.5,123.1076
1.347286,26.8,15.22181
0,26.7,12.48753
0,27.2,16.112
11.14788,27.8,15.674
0.093879,26.7,14.28309
0,26.7,12.56802
2.822341,27.7,31.46995
0,27,12.505
0,27,12.29195
0,27.2,11.43584
0,26.1,12.77209
0,27,9.356
0,27.3,12.5446
57.09188,27,10.52
0.543482,27,13.67985
7.034436,26,9.865
0,25.6,10.688
0,27.5,10.264
