Tanggal,Curah Hujan,Suhu,Debit
15/06/2014,0,27,13.334
16/06/2014,0,27.2,12.129
17/06/2014,0,26.1,10.459
18/06/2014,0,27,9.984
19/06/2014,0,27.3,11.417
20/06/2014,5.821658,27,13.611
21/06/2014,0.117379,27,12.77541
22/06/2014,6.863758,26,13.055
23/06/2014,0,25.6,12.527
24/06/2014,0,27.5,12.18041
25/06/2014,2.784438,26.4,13.186
26/06/2014,0,26.5,26.079
27/06/2014,32.53537,26.6,20.167
28/06/2014,4.693779,26.1,19.66
29/06/2014,0.234757,25.7,15.762
30/06/2014,0,26.3,13.47141
01/07/2014,0,25.4,13.214
02/07/2014,0,25.5,13.45
03/07/2014,0,25.7,12.648
04/07/2014,0.110494,23.4,14.241
05/07/2014,0,26.6,13.533
06/07/2014,0.088034,27,13.186
07/07/2014,0,26.9,12.188
08/07/2014,0.224342,27,11.84
09/07/2014,2.322063,26.2,12.928
10/07/2014,0.117379,26.5,13.619
11/07/2014,0,27.1,12.28
12/07/2014,0,27.5,12.085
13/07/2014,0,28.1,10.873
14/07/2014,0,27.6,10.213
15/07/2014,5.065722,26,14.537
16/07/2014,0,26.9,14.841
17/07/2014,0,28.3,13.845
18/07/2014,0,27.1,13.55
19/07/2014,0,27.7,12.789
20/07/2014,0,27.7,11.695
21/07/2014,0,26.8,11.292
22/07/2014,0,28.2,10.658
23/07/2014,0,27.4,12.689
24/07/2014,0,27.6,10.526
25/07/2014,1.233881,27.8,11.503
26/07/2014,4.552485,27.8,12.497
27/07/2014,0,27.8,12.614
28/07/2014,0,28.5,11.868
29/07/2014,0.972925,28.9,10.906
30/07/2014,0,29.1,10.594
31/07/2014,0,28.8,10.346
01/08/2014,0,28.1,9.976
02/08/2014,0,28.1,9.69
03/08/2014,0,24.9,7.904
04/08/2014,0,24.5,8.853
05/08/2014,0,25.5,8.186
06/08/2014,0,25.4,7.904
07/08/2014,0,26.2,8.42
08/08/2014,0,27.8,6.872
09/08/2014,0,25.8,7.251
10/08/2014,0.99907,24.9,8.526
11/08/2014,0.117379,25.7,6.983
12/08/2014,0,29.5,7.134
13/08/2014,0,26.2,7.365
14/08/2014,0,23.5,7.182
15/08/2014,0,26,7.262
16/08/2014,0,25.3,6.37
17/08/2014,0,26.6,6.231
18/08/2014,0,27.3,5.614
19/08/2014,0,26.5,6.052
20/08/2014,0,25.9,5.862
21/08/2014,0,26,5.504
22/08/2014,0,25,5.435
23/08/2014,31.51118,25.6,17.813
24/08/2014,0,26.3,9.059
25/08/2014,0,25.2,9.356
26/08/2014,0,25.7,7.252
27/08/2014,0,25.7,5.263
28/08/2014,0,25.7,5.059
29/08/2014,0,27.2,4.553
30/08/2014,0,26.3,4.615
31/08/2014,0,27.8,4.466
01/09/2014,0,28.8,4.38
02/09/2014,0,27.8,4.195
03/09/2014,0,27.7,4.189
04/09/2014,0,27.5,4.393
05/09/2014,0,28.1,3.72
06/09/2014,0,28.2,4.416
07/09/2014,0,27.8,4.212
08/09/2014,0,27.3,6.817
09/09/2014,0,27.6,5.773
10/09/2014,0,28.3,6.167
11/09/2014,0,28.1,6.447
12/09/2014,0,27.6,3.986
13/09/2014,0,27.2,6.06
